id,state,state_abbr,total_median_earnings,yes_limited_activity,yes_exercise,yes_internet_usage,yes_difficult_errands_alone,yes_difficulty_concentrating,yes_difficulty_stairs
1,Alabama,AL,26934,27.9,72.4,75.6,10.7,16.4,20.6
2,Alaska,AK,36843,19.3,80.8,89.9,4.6,7.5,9.1
3,Arizona,AZ,29737,21.6,78.8,82.9,6.5,10.8,14.3
4,Arkansas,AR,26367,27,69.4,77.3,11.1,15.9,21.9
5,California,CA,31232,19.9,78.3,80.6,7,10.8,12.4
6,Colorado,CO,32379,20.3,83.6,86.9,4.8,7.8,9.7
7,Connecticut,CT,38443,19.8,79.4,83.7,6.4,8.7,11.2
8,Delaware,DE,32825,21,75.1,81.5,5.9,10.5,14.3
9,District of Columbia,DC,46000,15.9,79.2,84.6,6.4,9.3,12.7
10,Florida,FL,27250,22.4,76.3,81.9,7.4,11.6,15.2
11,Georgia,GA,29939,20.4,76.4,80.5,7.4,11.4,15.2
12,Hawaii,HI,33473,15.2,80.4,80.4,4.6,7,8.5
13,Idaho,ID,25145,20.4,81.3,86.1,4.8,8.7,10.4
14,Illinois,IL,31994,17.6,76.1,81.8,5.2,8.1,11.6
15,Indiana,IN,28977,22.2,73.9,80.7,7.6,10.8,15
16,Iowa,IA,30846,19.3,77.4,83.2,5.1,8.3,12
17,Kansas,KS,30384,20.1,76.2,83.9,6.5,9.9,13.7
18,Kentucky,KY,26828,27.6,71.8,78.7,9.9,16,21.6
19,Louisiana,LA,29486,22.7,70.5,77,8.5,14.5,18.9
20,Maine,ME,27813,24.4,80.3,84.8,6.3,9.8,11.7
21,Maryland,MD,40107,17.3,78.6,84.5,5.3,8.6,11.5
22,Massachusetts,MA,37702,22,79.9,85.3,7.5,11.9,13.6
23,Michigan,MI,28204,22.5,74.5,83,7.5,12.6,15.2
24,Minnesota,MN,33720,17,79.8,86.8,4.1,8.3,10.4
25,Mississippi,MS,26631,24.3,68.4,70.4,10.1,16.2,19.8
26,Missouri,MO,28875,23.2,75,81.5,7.8,11.6,14.2
27,Montana,MT,25614,23.1,80.4,83,5.9,10.7,13.6
28,Nebraska,NE,30041,18.3,78.7,83.6,4.7,7.9,11.2
29,Nevada,NV,30229,20.2,77.5,82.1,6.5,11.3,12.6
30,New Hampshire,NH,35231,19.7,80.7,89.1,5.7,9.8,11.8
31,New Jersey,NJ,38893,16.3,76.7,82.9,5.4,8.8,12.6
32,New Mexico,NM,25736,23.4,76.7,76.4,7.9,12.1,16.1
33,New York,NY,34308,19.3,74.1,80,6.4,9.5,14
34,North Carolina,NC,28248,21.5,76.8,78.5,7.7,10.8,16.2
35,North Dakota,ND,32022,16.2,78.7,82.6,4.5,7.1,10.4
36,Ohio,OH,30134,22.4,75.1,82.7,7.5,11.6,14.8
37,Oklahoma,OK,28548,25.9,71.7,79.6,9.1,12.8,18.7
38,Oregon,OR,27367,25.6,83.5,87.2,7,11.7,13.8
39,Pennsylvania,PA,31524,21.9,76.7,80.6,6.3,10.4,13
40,Rhode Island,RI,31319,20.1,77.5,83.1,6.5,10.3,13
41,South Carolina,SC,26752,24.3,74.7,77.3,8,12.9,17.5
42,South Dakota,SD,29003,19.5,78.8,81.5,5.3,8.1,12
43,Tennessee,TN,26976,25.9,73.2,78.1,10,14.4,20.5
44,Texas,TX,30284,17,72.4,79.1,6.4,10,14.1
45,Utah,UT,27449,17.9,83.2,89.4,4.6,9.5,9.5
46,Vermont,VT,30277,21.8,81,86,5.6,9.8,12
47,Virginia,VA,35108,18.6,76.5,84,5.5,9.6,12.3
48,Washington,WA,33176,23.9,81.9,87.4,6.3,10.2,11.6
49,West Virginia,WV,27023,29.1,71.3,73.2,12,14.8,23
50,Wisconsin,WI,30618,20.2,78.8,83.5,5.9,9.5,12
51,Wyoming,WY,30822,19.9,77.9,84.3,4.7,7.5,11